track_name,genres
Harvest Moon (Live at Echo Mountain),['indie soul']
Walk to Midnight,['indie soul']
(I Wanted) Summer With You,['boston indie']
L.A.,['boston indie']
Let Me Hold You,['boston indie']
Let Me Hold You (Reprise),['boston indie']
Jessie,['boston indie']
Alright,['boston indie']
Four Out Of Five - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Brianstorm - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Crying Lightning - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Do I Wanna Know? - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Why'd You Only Call Me When You're High? - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
505 - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
One Point Perspective - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Do Me A Favour - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Cornerstone - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Knee Socks - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Arabella - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Tranquility Base Hotel & Casino - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
She Looks Like Fun - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
From The Ritz To The Rubble - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Pretty Visitors - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Don't Sit Down 'Cause I've Moved Your Chair - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
I Bet You Look Good On The Dancefloor - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Star Treatment - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The View From The Afternoon - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
R U Mine? - Live,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The Sweet Science (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Tee Time (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Animal Spirits (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Cory Wong (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
My First Car (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Tesla (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Smile Meditation (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Running Away (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Baby I Don't Know Oh Oh (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
1612 (Live at Madison Square Garden),"['ann arbor indie', 'funk rock', 'instrumental funk']"
